species_code,sci_name,order,family
bafgab2,Corythaixoides personatus leopoldi,Cuculiformes,Musophagidae (Turacos)
crecou2,Coua cristata [cristata Group],Cuculiformes,Cuculidae (Cuckoos)
crecou3,Coua cristata pyropyga,Cuculiformes,Cuculidae (Cuckoos)
prisco1,Otus [undescribed form],Strigiformes,Strigidae (Owls)
hanboo2,Ninox squamipila squamipila,Strigiformes,Strigidae (Owls)
solboo2,Ninox jacquinoti granti,Strigiformes,Strigidae (Owls)
solboo3,Ninox jacquinoti malaitae,Strigiformes,Strigidae (Owls)
solboo4,Ninox jacquinoti roseoaxillaris,Strigiformes,Strigidae (Owls)
pltswi1,Collocalia affinis,Caprimulgiformes,Apodidae (Swifts)
gyrswi5,Collocalia marginata,Caprimulgiformes,Apodidae (Swifts)
draswi1,Collocalia neglecta,Caprimulgiformes,Apodidae (Swifts)
satswi1,Collocalia uropygialis,Caprimulgiformes,Apodidae (Swifts)
stbher2,Phaethornis bourcieri bourcieri,Caprimulgiformes,Trochilidae (Hummingbirds)
gycher3,Phaethornis griseogularis porcullae,Caprimulgiformes,Trochilidae (Hummingbirds)
webhum1,Schistes geoffroyi geoffroyi/chapmani,Caprimulgiformes,Trochilidae (Hummingbirds)
antman2,Anthracothorax dominicus dominicus,Caprimulgiformes,Trochilidae (Hummingbirds)
fescoq3,Lophornis chalybeus chalybeus,Caprimulgiformes,Trochilidae (Hummingbirds)
beamou2,Oreonympha nobilis albolimbata,Caprimulgiformes,Trochilidae (Hummingbirds)
vitsta2,Coeligena violifer dichroura,Caprimulgiformes,Trochilidae (Hummingbirds)
vitsta4,Coeligena violifer osculans,Caprimulgiformes,Trochilidae (Hummingbirds)
boorat2,Ocreatus underwoodii peruanus,Caprimulgiformes,Trochilidae (Hummingbirds)
boorat3,Ocreatus underwoodii annae,Caprimulgiformes,Trochilidae (Hummingbirds)
boorat4,Ocreatus underwoodii addae,Caprimulgiformes,Trochilidae (Hummingbirds)
whthil3,Urochroa bougueri leucura,Caprimulgiformes,Trochilidae (Hummingbirds)
y01030,Calothorax lucifer/pulcher,Caprimulgiformes,Trochilidae (Hummingbirds)
braeme2,Chlorostilbon bracei bracei,Caprimulgiformes,Trochilidae (Hummingbirds)
gybsab2,Campylopterus largipennis largipennis,Caprimulgiformes,Trochilidae (Hummingbirds)
gybsab3,Campylopterus largipennis obscurus,Caprimulgiformes,Trochilidae (Hummingbirds)
gybsab5,Campylopterus largipennis diamantinensis,Caprimulgiformes,Trochilidae (Hummingbirds)
saseme2,Amazilia lactea lactea/zimmeri,Caprimulgiformes,Trochilidae (Hummingbirds)
saseme3,Amazilia lactea bartletti,Caprimulgiformes,Trochilidae (Hummingbirds)
berhum1,Amazilia beryllina beryllina/viola,Caprimulgiformes,Trochilidae (Hummingbirds)
berhum2,Amazilia beryllina [devillei Group],Caprimulgiformes,Trochilidae (Hummingbirds)
bkdhor1,Horizocerus hartlaubi hartlaubi,Bucerotiformes,Bucerotidae (Hornbills)
bkdhor2,Horizocerus hartlaubi granti,Bucerotiformes,Bucerotidae (Hornbills)
x00887,Momotus coeruliceps x lessonii,Coraciiformes,Momotidae (Motmots)
y01033,Momotus coeruliceps/lessonii,Coraciiformes,Momotidae (Motmots)
bankin3,Lacedo pulchella melanops,Coraciiformes,Alcedinidae (Kingfishers)
lickin1,Cittura cyanotis sanghirensis,Coraciiformes,Alcedinidae (Kingfishers)
moukin3,Actenoides bougainvillei bougainvillei,Coraciiformes,Alcedinidae (Kingfishers)
moukin4,Actenoides bougainvillei excelsus,Coraciiformes,Alcedinidae (Kingfishers)
scbkin2,Actenoides princeps regalis,Coraciiformes,Alcedinidae (Kingfishers)
librol1,Coracias caudatus lorti,Coraciiformes,Coraciidae (Rollers)
piepuf2,Notharchus tectus subtectus,Galbuliformes,Bucconidae (Puffbirds)
piepuf3,Notharchus tectus tectus/picatus,Galbuliformes,Bucconidae (Puffbirds)
crcpuf2,Malacoptila striata minor,Galbuliformes,Bucconidae (Puffbirds)
gytbar2,Gymnobucco bonapartei bonapartei,Piciformes,Lybiidae (African Barbets)
gytbar3,Gymnobucco bonapartei cinereiceps,Piciformes,Lybiidae (African Barbets)
nafbar2,Gymnobucco calvus calvus/congicus,Piciformes,Lybiidae (African Barbets)
whebar2,Stactolaema leucotis leucogrammica,Piciformes,Lybiidae (African Barbets)
buebar2,Psilopogon duvaucelii [duvaucelii Group],Piciformes,Megalaimidae (Asian Barbets)
letbar3,Eubucco richardsoni aurantiicollis/purusianus,Piciformes,Capitonidae (New World Barbets)
verbar2,Eubucco versicolor steerii,Piciformes,Capitonidae (New World Barbets)
verbar4,Eubucco versicolor versicolor,Piciformes,Capitonidae (New World Barbets)
souemt1,Aulacorhynchus albivitta,Piciformes,Ramphastidae (Toucans)
letara3,Pteroglossus inscriptus inscriptus,Piciformes,Ramphastidae (Toucans)
renara2,Pteroglossus bitorquatus sturmii,Piciformes,Ramphastidae (Toucans)
goctou3,Selenidera reinwardtii langsdorffii,Piciformes,Ramphastidae (Toucans)
whttou3,Ramphastos tucanus cuvieri/inca,Piciformes,Ramphastidae (Toucans)
whbpic6,Picumnus cirratus macconnelli/confusus,Piciformes,Picidae (Woodpeckers)
whbpic7,Picumnus cirratus [cirratus Group],Piciformes,Picidae (Woodpeckers)
crmwoo1,Colaptes rivolii [rivolii Group],Piciformes,Picidae (Woodpeckers)
gnbwoo3,Colaptes melanochloros melanochloros/nattereri,Piciformes,Picidae (Woodpeckers)
gnbwoo4,Colaptes melanochloros [melanolaimus Group],Piciformes,Picidae (Woodpeckers)
andfli2,Colaptes rupicola cinereicapillus,Piciformes,Picidae (Woodpeckers)
andfli3,Colaptes rupicola rupicola/puna,Piciformes,Picidae (Woodpeckers)
linwoo8,Dryocopus lineatus fuscipennis,Piciformes,Picidae (Woodpeckers)
chtwoo3,Picus mentalis mentalis,Piciformes,Picidae (Woodpeckers)
burwoo2,Meiglyptes tristis grammithorax,Piciformes,Picidae (Woodpeckers)
gabwoo2,Hemicircus concretus sordidus,Piciformes,Picidae (Woodpeckers)
burpar4,Psittinus cyanurus cyanurus/pontius,Psittaciformes,Psittaculidae (Old World Parrots)
burpar5,Psittinus cyanurus abbotti,Psittaciformes,Psittaculidae (Old World Parrots)
larfip1,Psittaculirostris desmarestii [desmarestii Group],Psittaciformes,Psittaculidae (Old World Parrots)
larfip2,Psittaculirostris desmarestii godmani,Psittaciformes,Psittaculidae (Old World Parrots)
yaglor2,Trichoglossus flavoviridis meyeri,Psittaciformes,Psittaculidae (Old World Parrots)
fespar2,Amazona festiva bodini,Psittaciformes,Psittacidae (New World and African Parrots)
fespar3,Amazona festiva festiva,Psittaciformes,Psittacidae (New World and African Parrots)
meapar1,Amazona farinosa guatemalae/virenticeps,Psittaciformes,Psittacidae (New World and African Parrots)
whbpar4,Pionites leucogaster leucogaster,Psittaciformes,Psittacidae (New World and African Parrots)
x00888,Ara ararauna x macao,Psittaciformes,Psittacidae (New World and African Parrots)
resmac3,Diopsittaca nobilis cumanensis/longipennis,Psittaciformes,Psittacidae (New World and African Parrots)
sibbro2,Serilophus lunatus rubropygius,Passeriformes,Eurylaimidae (Asian and Grauer's Broadbills)
banbro2,Eurylaimus javanicus [harterti Group],Passeriformes,Eurylaimidae (Asian and Grauer's Broadbills)
banbro3,Eurylaimus javanicus javanicus,Passeriformes,Eurylaimidae (Asian and Grauer's Broadbills)
ivbpit2,Pitta maxima maxima,Passeriformes,Pittidae (Pittas)
bkcant1,Sakesphorus canadensis pulchellus,Passeriformes,Thamnophilidae (Typical Antbirds)
rucant5,Thamnophilus ruficapillus ruficapillus/cochabambae,Passeriformes,Thamnophilidae (Typical Antbirds)
ornant3,Epinecrophylla ornata hoffmannsi,Passeriformes,Thamnophilidae (Typical Antbirds)
ruwant3,Herpsilochmus rufimarginatus [scapularis Group],Passeriformes,Thamnophilidae (Typical Antbirds)
ruwant4,Herpsilochmus rufimarginatus rufimarginatus,Passeriformes,Thamnophilidae (Typical Antbirds)
dusant2,Cercomacroides tyrannina tyrannina/crepera,Passeriformes,Thamnophilidae (Typical Antbirds)
dusant3,Cercomacroides tyrannina saturatior/vicina,Passeriformes,Thamnophilidae (Typical Antbirds)
chbant4,Poliocrania exsul maculifer/cassini,Passeriformes,Thamnophilidae (Typical Antbirds)
whiant1,Myrmoderus [undescribed form],Passeriformes,Thamnophilidae (Typical Antbirds)
colcre2,Melanopareia torquata bitorquata,Passeriformes,Melanopareiidae (Crescentchests)
colcre3,Melanopareia torquata torquata/rufescens,Passeriformes,Melanopareiidae (Crescentchests)
tawant3,Grallaria quitensis quitensis,Passeriformes,Grallariidae (Antpittas)
lotwoo4,Deconychura longicauda longicauda,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
lotwoo5,Deconychura longicauda [pallida Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
webwoo4,Glyphorynchus spirurus albigularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
citwoo2,Dendrexetastes rufigula devillei,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
citwoo3,Dendrexetastes rufigula rufigula,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
spcwoo4,Lepidocolaptes affinis affinis/lignicida,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
plaxen3,Xenops minutus [genibarbis Group],Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
plaxen4,Xenops minutus minutus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
blacin3,Cinclodes antarcticus antarcticus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
butfog6,Automolus ochrolaemus turdinus,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
butfog8,Automolus ochrolaemus auricularis,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
whtbar2,Premnoplex tatei tatei,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
marspi1,Cranioleuca marcapatae weskei,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
licspi4,Cranioleuca albiceps discolor,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
spinet1,Furnariidae sp. (spinetail sp.),Passeriformes,Furnariidae (Ovenbirds and Woodcreepers)
graela4,Elaenia fallax cherriei,Passeriformes,Tyrannidae (Tyrant Flycatchers)
y01036,Serpophaga subcristata/munda,Passeriformes,Tyrannidae (Tyrant Flycatchers)
olsfly3,Mionectes olivaceus [galbinus Group],Passeriformes,Tyrannidae (Tyrant Flycatchers)
slcfly4,Leptopogon superciliaris transandinus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
ornfly3,Myiotriccus ornatus phoenicurus/aureiventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bropyt1,Pseudotriccus pelzelni annectens/berlepschi,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bropyt2,Pseudotriccus pelzelni pelzelni/peruvianus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
tacpyt1,Euscarthmus meloryphus meloryphus/paulus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
olifla2,Rhynchocyclus olivaceus [aequinoctialis Group],Passeriformes,Tyrannidae (Tyrant Flycatchers)
olifla3,Rhynchocyclus olivaceus [olivaceus Group],Passeriformes,Tyrannidae (Tyrant Flycatchers)
whtspa2,Platyrinchus mystaceus [albogularis Group],Passeriformes,Tyrannidae (Tyrant Flycatchers)
whtspa3,Platyrinchus mystaceus [mystaceus Group],Passeriformes,Tyrannidae (Tyrant Flycatchers)
clifly3,Hirundinea ferruginea bellicosa/pallidior,Passeriformes,Tyrannidae (Tyrant Flycatchers)
y01038,Myiobius barbatus/atricaudus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
grepew1,Contopus pertinax pertinax,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rivtyr4,Knipolegus orenocensis sclateri,Passeriformes,Tyrannidae (Tyrant Flycatchers)
whwblt5,Knipolegus aterrimus aterrimus/anthracinus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bnbcht1,Ochthoeca fumicolor [fumicolor Group],Passeriformes,Tyrannidae (Tyrant Flycatchers)
tyrann1,Tyrannus sp.,Passeriformes,Tyrannidae (Tyrant Flycatchers)
grnman2,Cryptopipo holochlora holochlora/viridior,Passeriformes,Pipridae (Manakins)
bkttit5,Tityra cayana cayana,Passeriformes,Tityridae (Tityras and Allies)
gycbec1,Pachyramphus major [major Group],Passeriformes,Tityridae (Tityras and Allies)
dusmyz2,Myzomela obscura rubrobrunnea,Passeriformes,Meliphagidae (Honeyeaters)
dusmyz3,Myzomela obscura rubrotincta,Passeriformes,Meliphagidae (Honeyeaters)
redmyz2,Myzomela cruentata cruentata/coccinea,Passeriformes,Meliphagidae (Honeyeaters)
redmyz3,Myzomela cruentata [erythrina Group],Passeriformes,Meliphagidae (Honeyeaters)
rotmyz2,Myzomela [undescribed Rote form],Passeriformes,Meliphagidae (Honeyeaters)
talmyz1,Myzomela [undescribed Taliabu form],Passeriformes,Meliphagidae (Honeyeaters)
wakmyz3,Myzomela wakoloensis wakoloensis,Passeriformes,Meliphagidae (Honeyeaters)
recmyz2,Myzomela rosenbergii rosenbergii/wahgiensis,Passeriformes,Meliphagidae (Honeyeaters)
bufhon1,Entomyzon cyanotis albipennis,Passeriformes,Meliphagidae (Honeyeaters)
fatger2,Gerygone flavolateralis [flavolateralis Group],Passeriformes,Acanthizidae (Thornbills and Allies)
pseudo1,Pomatostomus sp.,Passeriformes,Pomatostomidae (Pseudo-Babblers)
cresat2,Cnemophilus macgregorii sanguineus,Passeriformes,Cnemophilidae (Satinbirds)
spober2,Melanocharis crassirostris crassirostris,Passeriformes,Melanocharitidae (Berrypeckers and Longbills)
creber3,Paramythia montium olivacea/alpina,Passeriformes,Paramythiidae (Tit Berrypecker and Crested Berrypecker)
weswhi3,Psophodes nigrogularis nigrogularis/oberon,Passeriformes,Psophodidae (Whipbirds and Wedgebills)
weswhi4,Psophodes nigrogularis leucogaster/lashmari,Passeriformes,Psophodidae (Whipbirds and Wedgebills)
y01039,Artamus personatus/superciliosus,Passeriformes,Artamidae (Woodswallows)
gycmin3,Pericrocotus solaris montanus/cinereigula,Passeriformes,Campephagidae (Cuckooshrikes)
larcuc1,Coracina macei macei/layardi,Passeriformes,Campephagidae (Cuckooshrikes)
larcuc2,Coracina macei [nipalensis Group],Passeriformes,Campephagidae (Cuckooshrikes)
larcuc3,Coracina macei larutensis,Passeriformes,Campephagidae (Cuckooshrikes)
babcuc5,Coracina striata panayensis,Passeriformes,Campephagidae (Cuckooshrikes)
bawtri2,Lalage melanoleuca melanoleuca,Passeriformes,Campephagidae (Cuckooshrikes)
solcuc1,Edolisoma holopolium holopolium/tricolor,Passeriformes,Campephagidae (Cuckooshrikes)
rubwhi2,Pachycephala fulvotincta teysmanni,Passeriformes,Pachycephalidae (Whistlers and Allies)
norshr4,Lanius borealis,Passeriformes,Laniidae (Shrikes)
chgshr1,Lanius sphenocercus sphenocercus,Passeriformes,Laniidae (Shrikes)
chgshr3,Lanius sphenocercus giganteus,Passeriformes,Laniidae (Shrikes)
scrgre3,Hylophilus flavipes [flavipes Group],Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
scrgre4,Hylophilus flavipes insularis,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
slcshv1,Vireolanius leucotis mikettae,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
tacgre4,Tunchiornis ochraceiceps ferrugineifrons/viridior,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
tacgre5,Tunchiornis ochraceiceps luteifrons,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
timori2,Oriolus melanotis melanotis,Passeriformes,Oriolidae (Old World Orioles)
timori3,Oriolus melanotis finschi,Passeriformes,Oriolidae (Old World Orioles)
bacori2,Oriolus cruentus [consanguineus Group],Passeriformes,Oriolidae (Old World Orioles)
soipio1,Turnagra capensis,Passeriformes,Oriolidae (Old World Orioles)
hacdro3,Dicrurus hottentottus striatus/samarensis,Passeriformes,Dicruridae (Drongos)
norfan10,Rhipidura rufiventris cinerea,Passeriformes,Rhipiduridae (Fantails)
norfan13,Rhipidura rufiventris isura,Passeriformes,Rhipiduridae (Fantails)
rubfan2,Rhipidura teysmanni teysmanni/toradja,Passeriformes,Rhipiduridae (Fantails)
pelfan1,Rhipidura (undescribed form),Passeriformes,Rhipiduridae (Fantails)
arafan3,Rhipidura dryas dryas,Passeriformes,Rhipiduridae (Fantails)
brnfan2,Rhipidura drownei ocularis,Passeriformes,Rhipiduridae (Fantails)
strfan3,Rhipidura verreauxi layardi/erythronota,Passeriformes,Rhipiduridae (Fantails)
strfan5,Rhipidura verreauxi verreauxi,Passeriformes,Rhipiduridae (Fantails)
afrcrf1,Trochocercus cyanomelas [bivittatus Group],Passeriformes,Monarchidae (Monarch Flycatchers)
afrcrf2,Trochocercus cyanomelas cyanomelas/segregus,Passeriformes,Monarchidae (Monarch Flycatchers)
rufpaf2,Terpsiphone cinnamomea cinnamomea/talautensis,Passeriformes,Monarchidae (Monarch Flycatchers)
bktmon1,Symposiachrus verticalis ateralbus,Passeriformes,Monarchidae (Monarch Flycatchers)
bktmon2,Symposiachrus verticalis verticalis,Passeriformes,Monarchidae (Monarch Flycatchers)
dulfly2,Myiagra hebetior hebetior,Passeriformes,Monarchidae (Monarch Flycatchers)
dulfly4,Myiagra hebetior cervinicolor,Passeriformes,Monarchidae (Monarch Flycatchers)
blkmag1,Platysmurus leucopterus leucopterus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
blkmag2,Platysmurus leucopterus aterrimus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
x00891,Cyanocitta stelleri x Aphelocoma woodhouseii,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
pica1,Pica sp.,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
paradi3,Lycocorax pyrrhopterus obiensis,Passeriformes,Paradisaeidae (Birds-of-Paradise)
vosbop1,Lophorina niedda,Passeriformes,Paradisaeidae (Birds-of-Paradise)
torfly2,Monachella muelleriana muelleriana,Passeriformes,Petroicidae (Australasian Robins)
lebfly1,Microeca flavigaster [flavigaster Group],Passeriformes,Petroicidae (Australasian Robins)
pacrob1,Petroica multicolor [pusilla Group],Passeriformes,Petroicidae (Australasian Robins)
y01042,Calandrella brachydactyla/dukhunensis,Passeriformes,Alaudidae (Larks)
dunlar4,Eremalauda dunni eremodites,Passeriformes,Alaudidae (Larks)
y01043,Calandrella brachydactyla/Alaudala rufescens,Passeriformes,Alaudidae (Larks)
comhom1,Delichon urbicum urbicum/meridionale,Passeriformes,Hirundinidae (Swallows)
pltwre2,Pheugopedius euophrys [euophrys Group],Passeriformes,Troglodytidae (Wrens)
pltwre3,Pheugopedius euophrys schulenbergi,Passeriformes,Troglodytidae (Wrens)
chbwre3,Cyphorhinus thoracicus thoracicus,Passeriformes,Troglodytidae (Wrens)
muswre1,Cyphorhinus arada transfluvialis,Passeriformes,Troglodytidae (Wrens)
muswre5,Cyphorhinus arada griseolateralis,Passeriformes,Troglodytidae (Wrens)
muswre7,Cyphorhinus arada modulator,Passeriformes,Troglodytidae (Wrens)
sttbul3,Pycnonotus finlaysoni finlaysoni/eous,Passeriformes,Pycnonotidae (Bulbuls)
stebul2,Pycnonotus conradi,Passeriformes,Pycnonotidae (Bulbuls)
putbul3,Alophoixus pallidus [pallidus Group],Passeriformes,Pycnonotidae (Bulbuls)
ochbul2,Alophoixus ochraceus [ochraceus Group],Passeriformes,Pycnonotidae (Bulbuls)
gycbul3,Alophoixus bres bres/balicus,Passeriformes,Pycnonotidae (Bulbuls)
sulgob3,Alophoixus longirostris longirostris,Passeriformes,Pycnonotidae (Bulbuls)
chabul1,Iole charlottae,Passeriformes,Pycnonotidae (Bulbuls)
gyebul2,Iole propinqua [propinqua Group],Passeriformes,Pycnonotidae (Bulbuls)
gyebul3,Iole propinqua innectens,Passeriformes,Pycnonotidae (Bulbuls)
olibul2,Iole viridescens viridescens/lekhakuni,Passeriformes,Pycnonotidae (Bulbuls)
olibul3,Iole viridescens cinnamomeoventris,Passeriformes,Pycnonotidae (Bulbuls)
yelbul2,Hypsipetes everetti everetti/samarensis,Passeriformes,Pycnonotidae (Bulbuls)
yelbul3,Hypsipetes everetti haynaldi,Passeriformes,Pycnonotidae (Bulbuls)
ashbul4,Hemixos flavala cinereus,Passeriformes,Pycnonotidae (Bulbuls)
ashbul5,Hemixos flavala connectens,Passeriformes,Pycnonotidae (Bulbuls)
sunbul1,Ixos virescens sumatranus,Passeriformes,Pycnonotidae (Bulbuls)
scrwar1,Scotocerca inquieta saharae/theresae,Passeriformes,Scotocercidae (Bush Warblers and Allies)
scrwar2,Scotocerca inquieta [inquieta Group],Passeriformes,Scotocercidae (Bush Warblers and Allies)
abbwar2,Horornis flavolivaceus [flavolivaceus Group],Passeriformes,Scotocercidae (Bush Warblers and Allies)
y01045,Phylloscopus trochilus/collybita/ibericus,Passeriformes,Phylloscopidae (Leaf Warblers)
sulwar2,Phylloscopus sarasinorum nesophilus,Passeriformes,Phylloscopidae (Leaf Warblers)
tilwar3,Phylloscopus presbytes floris,Passeriformes,Phylloscopidae (Leaf Warblers)
tilwar4,Phylloscopus presbytes presbytes,Passeriformes,Phylloscopidae (Leaf Warblers)
sunwar3,Seicercus grammiceps grammiceps,Passeriformes,Phylloscopidae (Leaf Warblers)
papyew1,Calamonastides gracilirostris gracilirostris,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
eurwar3,Acrocephalus scirpaceus ammon,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
fernbi2,Megalurus punctatus [punctatus Group],Passeriformes,Locustellidae (Grassbirds and Allies)
fernbi3,Megalurus punctatus caudatus,Passeriformes,Locustellidae (Grassbirds and Allies)
cbbwar3,Locustella castanea disturbans,Passeriformes,Locustellidae (Grassbirds and Allies)
cbbwar4,Locustella castanea musculus,Passeriformes,Locustellidae (Grassbirds and Allies)
guathi3,Megalurulus whitneyi turipavae,Passeriformes,Locustellidae (Grassbirds and Allies)
bktpri2,Prinia atrogularis khasiana,Passeriformes,Cisticolidae (Cisticolas and Allies)
yebpri2,Prinia flaviventris [flaviventris Group],Passeriformes,Cisticolidae (Cisticolas and Allies)
leswhi3,Sylvia curruca halimodendri,Passeriformes,Sylviidae (Sylviid Warblers)
y01049,Sylvia minula/althaea/curruca,Passeriformes,Sylviidae (Sylviid Warblers)
y01050,Sylvia minula/margelanica,Passeriformes,Sylviidae (Sylviid Warblers)
bnwpar1,Sinosuthora brunnea ricketti,Passeriformes,"Paradoxornithidae (Parrotbills, Wrentit, and Allies)"
whbwhe2,Zosterops abyssinicus [abyssinicus Group],Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
merwhe1,Zosterops [undescribed form],Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
briwhe1,Zosterops conspicillatus conspicillatus,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
briwhe2,Zosterops conspicillatus saypani,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
crtwhe2,Zosterops atriceps dehaani,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
crtwhe3,Zosterops atriceps fuscifrons,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
crtwhe4,Zosterops atriceps atriceps,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
obiwhe1,Zosterops [undescribed Obi form],Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
bkfwhe2,Zosterops minor minor/rothschildi,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
gytwhe2,Zosterops ugiensis hamlini,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
pohwhe1,Zosterops ponapensis,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)"
gyctib2,Mixornis flavicollis flavicollis,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
y01051,Mixornis gularis/kelleyi,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
pabill2,Illadopsis rufipennis rufipennis/extrema,Passeriformes,Pellorneidae (Ground Babblers and Allies)
bkcbab1,Pellorneum capistratum [nigrocapitatum Group],Passeriformes,Pellorneidae (Ground Babblers and Allies)
bkcbab2,Pellorneum capistratum capistratum,Passeriformes,Pellorneidae (Ground Babblers and Allies)
junbab1,Turdoides striata [striata Group],Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
junbab3,Turdoides striata somervillei,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
moulau3,Ianthocincla cineracea cinereiceps,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
siemes2,Leiothrix argentauris [argentauris Group],Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
siemes3,Leiothrix argentauris laurinae/rookmakeri,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
spebar3,Actinodura ramsayi ramsayi,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
bnsfly2,Muscicapa williamsoni williamsoni,Passeriformes,Muscicapidae (Old World Flycatchers)
bnsfly3,Muscicapa williamsoni umbrosa,Passeriformes,Muscicapidae (Old World Flycatchers)
orimar2,Copsychus saularis [amoenus Group],Passeriformes,Muscicapidae (Old World Flycatchers)
bubfly2,Cyornis herioti camarinensis,Passeriformes,Muscicapidae (Old World Flycatchers)
pabfly4,Cyornis unicolor diaoluoensis,Passeriformes,Muscicapidae (Old World Flycatchers)
pabfly5,Cyornis unicolor harterti,Passeriformes,Muscicapidae (Old World Flycatchers)
tibfly4,Cyornis tickelliae [sumatrensis Group],Passeriformes,Muscicapidae (Old World Flycatchers)
togjuf1,Cyornis [undescribed Togian form],Passeriformes,Muscicapidae (Old World Flycatchers)
flojuf3,Cyornis oscillans stresemanni,Passeriformes,Muscicapidae (Old World Flycatchers)
chtjuf2,Cyornis ruficauda [ruficauda Group],Passeriformes,Muscicapidae (Old World Flycatchers)
chtjuf3,Cyornis ruficauda ocularis,Passeriformes,Muscicapidae (Old World Flycatchers)
chtjuf4,Cyornis ruficauda ruficrissa/isola,Passeriformes,Muscicapidae (Old World Flycatchers)
vivnil3,Niltava vivida vivida,Passeriformes,Muscicapidae (Old World Flycatchers)
indfly2,Eumyias indigo ruficrissa/cerviniventris,Passeriformes,Muscicapidae (Old World Flycatchers)
gresho2,Heinrichia calligyna simplex,Passeriformes,Muscicapidae (Old World Flycatchers)
whbsho4,Brachypteryx montana cruralis,Passeriformes,Muscicapidae (Old World Flycatchers)
whbsho6,Brachypteryx montana goodfellowi,Passeriformes,Muscicapidae (Old World Flycatchers)
whbsho9,Brachypteryx montana saturata,Passeriformes,Muscicapidae (Old World Flycatchers)
whbsho10,Brachypteryx montana montana,Passeriformes,Muscicapidae (Old World Flycatchers)
japrob2,Larvivora akahige akahige/rishirensis,Passeriformes,Muscicapidae (Old World Flycatchers)
ryurob2,Larvivora komadori komadori/subrufus,Passeriformes,Muscicapidae (Old World Flycatchers)
whcfor4,Enicurus leschenaulti [frontalis Group],Passeriformes,Muscicapidae (Old World Flycatchers)
himrub1,Calliope pectoralis,Passeriformes,Muscicapidae (Old World Flycatchers)
whtrob4,Myiomela leucura leucura/montium,Passeriformes,Muscicapidae (Old World Flycatchers)
sunrob2,Myiomela diana sumatrana,Passeriformes,Muscicapidae (Old World Flycatchers)
rebwhe3,Oenanthe bottae frenata,Passeriformes,Muscicapidae (Old World Flycatchers)
orhthr2,Geokichla citrina [citrina Group],Passeriformes,Turdidae (Thrushes and Allies)
